Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:45:37 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.22    0.00    2.04    3.06    0.00   94.68

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdw               8.00     0.00  248.00    0.00 64768.00     0.00   522.32   125.51  312.08  312.08    0.00   3.54  87.80
sdx               9.00     0.00  341.00    2.00 88064.00  2048.00   525.43   124.89  265.72  264.27  513.00   2.56  87.70
sdy               9.00     0.00  265.00    2.00 69888.00  2048.00   538.85   125.54  333.85  336.21   21.00   3.32  88.70
sdz              13.00     0.00  311.00    2.00 82432.00  2048.00   539.81   125.46  274.54  276.27    5.50   2.82  88.40
sdaa             15.00     0.00  328.00    2.00 87040.00  2048.00   539.93   125.02  267.93  269.46   17.00   2.71  89.40
sdab             16.00     0.00  330.00    2.00 86528.00  2048.00   533.59   124.93  281.00  282.66    7.50   2.67  88.60
sdac             13.00     0.00  306.00    2.00 81152.00  2048.00   540.26   124.59  289.33  291.18    5.50   2.87  88.30
sdad              7.00     0.00  314.00    2.00 81408.00  2048.00   528.20   125.00  275.98  277.66   12.00   2.82  89.00
sdae              9.00     0.00  349.00    2.00 91136.00  2048.00   530.96   124.18  260.27  261.73    6.00   2.52  88.50
sdaf             10.00     0.00  220.00    2.00 58112.00  2048.00   541.98   122.85  322.09  324.96    6.50   3.99  88.50
sdag             12.00     0.00  350.00    2.00 91392.00  2048.00   530.91   124.79  268.24  269.72    9.50   2.53  88.90

02/07/2019 07:45:40 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    0.49   18.34    0.00   81.14

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     1.00    0.00    1.00     0.00   128.00   256.00     0.01    5.00    0.00    5.00   5.00   0.50
sdb              12.00     0.00  398.00    0.00 105216.00     0.00   528.72   143.14  353.71  353.71    0.00   2.51 100.00
sdc              13.00     0.00  346.00    0.00 91648.00     0.00   529.76   143.35  394.68  394.68    0.00   2.89 100.00
sdd              17.00     0.00  379.00    0.00 101632.00     0.00   536.32   143.43  385.57  385.57    0.00   2.64  99.90
sde              15.00     0.00  375.00    0.00 99584.00     0.00   531.11   143.44  372.08  372.08    0.00   2.66  99.90
sdf              13.00     0.00  373.00    0.00 98560.00     0.00   528.47   142.84  375.87  375.87    0.00   2.68  99.90
sdg              16.00     0.00  386.00    0.00 103168.00     0.00   534.55   143.20  350.97  350.97    0.00   2.59  99.90
sdh              12.00     0.00  375.00    0.00 99072.00     0.00   528.38   142.98  381.48  381.48    0.00   2.66  99.90
sdi              13.00     0.00  349.00    0.00 92928.00     0.00   532.54   143.22  407.62  407.62    0.00   2.86  99.90
sdj              16.00     0.00  297.00    0.00 79360.00     0.00   534.41   143.19  454.39  454.39    0.00   3.37 100.00
sdk               6.00     0.00  258.00    0.00 68096.00     0.00   527.88   145.91  491.52  491.52    0.00   3.88 100.00
sdl              15.00     0.00  358.00    0.00 94720.00     0.00   529.16   143.43  373.58  373.58    0.00   2.79 100.00
sdm              16.00     0.00  361.00    0.00 95488.00     0.00   529.02   143.19  381.18  381.18    0.00   2.77 100.00
sdn              14.00     0.00  364.00    0.00 94720.00     0.00   520.44   143.12  383.02  383.02    0.00   2.75 100.00
sdo              18.00     0.00  393.00    0.00 103168.00     0.00   525.03   143.20  365.61  365.61    0.00   2.54 100.00
sdp               7.00     0.00  394.00    0.00 103424.00     0.00   524.99   143.10  359.18  359.18    0.00   2.54 100.00
sdq              12.00     0.00  370.00    0.00 98816.00     0.00   534.14   143.31  381.93  381.93    0.00   2.70 100.00
sdr              14.00     0.00  377.00    0.00 100608.00     0.00   533.73   143.75  387.49  387.49    0.00   2.65 100.00
sds              11.00     0.00  348.00    0.00 91392.00     0.00   525.24   143.48  402.01  402.01    0.00   2.87 100.00
sdt              14.00     0.00  303.00    0.00 81152.00     0.00   535.66   142.59  419.13  419.13    0.00   3.30 100.00
sdu              15.00     0.00  321.00    0.00 84224.00     0.00   524.76   143.90  398.50  398.50    0.00   3.12 100.00
sdv              12.00     0.00  370.00    0.00 97792.00     0.00   528.61   143.08  385.92  385.92    0.00   2.70 100.00
sdw              11.00     0.00  356.00    2.00 94464.00  2048.00   539.17   143.40  427.85  427.17  548.50   2.79 100.00
sdx              14.00     0.00  346.00    0.00 91904.00     0.00   531.24   143.24  407.70  407.70    0.00   2.89 100.00
sdy              11.00     0.00  356.00    0.00 93440.00     0.00   524.94   143.57  384.00  384.00    0.00   2.81 100.00
sdz              17.00     0.00  338.00    0.00 89856.00     0.00   531.69   142.90  427.35  427.35    0.00   2.96 100.00
sdaa              8.00     0.00  376.00    0.00 99072.00     0.00   526.98   143.32  373.93  373.93    0.00   2.66 100.00
sdab              9.00     0.00  365.00    0.00 97024.00     0.00   531.64   143.47  382.33  382.33    0.00   2.74 100.00
sdac             10.00     0.00  336.00    0.00 88576.00     0.00   527.24   143.31  408.88  408.88    0.00   2.98 100.00
sdad             10.00     0.00  362.00    0.00 95232.00     0.00   526.14   143.00  396.49  396.49    0.00   2.76  99.90
sdae             20.00     0.00  379.00    0.00 101376.00     0.00   534.97   143.26  361.46  361.46    0.00   2.64  99.90
sdaf             13.00     0.00  311.00    0.00 82432.00     0.00   530.11   143.69  503.90  503.90    0.00   3.21  99.90
sdag             16.00     0.00  383.00    0.00 101376.00     0.00   529.38   143.25  340.58  340.58    0.00   2.61  99.90

02/07/2019 07:45:41 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    0.47   18.02    0.00   81.48

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
