Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:46:39 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.21    0.00    2.00    3.40    0.00   94.39

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sde               0.00    13.00  353.00  379.00 90368.00 101120.00   523.19   142.76  196.77   64.61  319.87   1.37 100.00
sdf               1.00    10.00  365.00  332.00 93696.00 86784.00   517.88   142.95  208.58   70.44  360.45   1.43 100.00
sdg               2.00    10.00  318.00  304.00 81920.00 79872.00   520.23   142.48  214.89   78.07  358.02   1.61 100.00
sdh               2.00    10.00  260.00  321.00 67072.00 86016.00   526.98   140.03  235.91   64.57  374.69   1.72 100.00
sdi               5.00    21.00  493.00  530.00 127232.00 140812.00   524.04   140.91  144.52   49.92  232.50   0.98 100.00
sdj               4.00    24.00  517.00  535.00 133376.00 141072.00   521.76   140.65  142.29   55.96  225.72   0.95 100.00
sdk               1.00     9.00  417.00  357.00 107008.00 93456.00   517.99   143.56  189.11   61.99  337.60   1.29 100.00
sdl               3.00     8.00  335.00  299.00 86528.00 79616.00   524.11   144.07  221.15   82.77  376.18   1.58 100.00
sdm               0.00     7.00  292.00  290.00 74752.00 76032.00   518.16   141.86  245.80   74.32  418.47   1.72 100.00
sdn               0.00    15.00  522.00  517.00 133632.00 135680.00   518.41   143.06  142.74   45.64  240.78   0.96 100.00
sdo               0.00    12.00  257.00  224.00 65792.00 61184.00   527.97   142.49  269.90  101.15  463.51   2.08 100.00
sdp               1.00    13.00  295.00  313.00 75776.00 83456.00   523.79   143.37  238.52   85.19  383.03   1.64  99.90
sdq               1.00     8.00  293.00  271.00 75264.00 71168.00   519.26   142.07  244.98   85.60  417.30   1.77 100.00
sdr               2.00    12.00  273.00  288.00 70400.00 76544.00   523.86   143.38  252.69   79.62  416.75   1.78 100.00
sds               0.00     6.00  288.00  291.00 73728.00 77056.00   520.84   144.16  231.95   87.56  374.84   1.73 100.00
sdt               2.00     6.00  296.00  276.00 76288.00 72192.00   519.16   143.87  248.71  107.01  400.68   1.75 100.00
