Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:48:42 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.24    0.00    1.99    4.25    0.00   93.52

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc              15.00     0.00 22260.00    4.00 89100.00  4096.00     8.37   126.19    5.65    5.65   12.25   0.04  90.00
sdd              10.00     0.00 17126.00    4.00 68544.00  4096.00     8.48   127.44    7.41    7.41   17.50   0.05  90.50
sde               9.00     0.00 17235.00    4.00 68976.00  4096.00     8.48   127.41    7.34    7.34   14.00   0.05  90.20
sdf               1.00     0.00 7307.00    4.00 29232.00  4096.00     9.12   130.40   17.65   17.64   24.25   0.12  90.60
sdg               9.00     0.00 12370.00    4.00 49516.00  4096.00     8.67   127.21   10.22   10.21   17.00   0.07  90.00
sdh               5.00     0.00 18808.00    4.00 75252.00  4096.00     8.44   126.97    6.73    6.73   14.75   0.05  90.00
sdi              10.00     0.00 22441.00    4.00 89804.00  4096.00     8.37   126.48    5.61    5.61   12.25   0.04  90.50
sdj              11.00     0.00 17775.00    4.00 71144.00  4096.00     8.46   127.22    7.12    7.12   13.00   0.05  90.30
sdk               4.00     0.00 8712.00    4.00 34860.00  4096.00     8.94   129.05   14.65   14.65   24.00   0.10  90.60
sdl              13.00     0.00 22778.00    4.00 91164.00  4096.00     8.36   126.22    5.52    5.52   13.00   0.04  90.10
sdm              12.00     0.00 22675.00    4.00 90748.00  4096.00     8.36   124.42    5.47    5.47   11.25   0.04  90.60
sdn               9.00     0.00 16774.00    4.00 67132.00  4096.00     8.49   127.17    7.54    7.54   18.75   0.05  90.30
sdo               7.00     0.00 17806.00    4.00 71252.00  4096.00     8.46   128.03    7.15    7.15   11.00   0.05  90.60
sdp               7.00     0.00 17745.00    4.00 71008.00  4096.00     8.46   127.96    7.18    7.18   10.25   0.05  90.70
sdq               4.00     0.00 20374.00    4.00 81512.00  4096.00     8.40   127.04    6.21    6.21   14.00   0.05  92.80
sdr               6.00     0.00 18421.00    4.00 73708.00  4096.00     8.45   127.46    6.89    6.89   11.50   0.05  91.10
sds               5.00     0.00 15126.00    4.00 60524.00  4096.00     8.54   128.40    8.45    8.45   14.00   0.06  91.80
sdt               6.00     0.00 23587.00    4.00 94372.00  4096.00     8.35   126.77    5.35    5.35    7.75   0.04  90.80
sdu               5.00     0.00 17126.00    4.00 68524.00  4096.00     8.48    76.93    4.46    4.46   10.00   0.05  84.50
sdv              10.00     0.00 22358.00    4.00 89472.00  4096.00     8.37   126.53    5.64    5.64    9.75   0.04  90.80
sdw               6.00     0.00 12493.00    4.00 49992.00  4096.00     8.66   128.05   10.17   10.17   12.25   0.07  91.40
sdx               4.00     0.00 15559.00    4.00 62252.00  4096.00     8.53   127.49    8.15    8.15   11.50   0.06  91.10
sdy               5.00     0.00 19534.00    4.00 78156.00  4096.00     8.42   127.41    6.50    6.50   11.75   0.05  91.60
sdz               7.00     0.00 21078.00    4.00 84336.00  4096.00     8.39   126.84    6.00    6.00    9.00   0.04  90.80
sdaa              2.00     0.00 10472.00    2.00 41896.00  2048.00     8.39   127.91   12.15   12.15   24.00   0.09  90.30
sdab              4.00     0.00 8218.00    2.00 32888.00  2048.00     8.50   128.72   15.48   15.48   20.50   0.11  90.40
sdac              5.00     0.00 20578.00    2.00 82332.00  2048.00     8.20   127.34    6.16    6.16   20.00   0.04  90.40
