Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:49:43 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.26    0.00    2.34    4.43    0.00   92.97

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdk               0.00     7.00 8385.00 8146.00 33540.00 36692.00     8.50   126.78    7.60    2.99   12.36   0.05  90.70
sdl               0.00    10.00 12134.00 12164.00 48536.00 52768.00     8.34   125.13    5.12    2.09    8.15   0.04  90.70
sdm               1.00     7.00 11562.00 11551.00 46252.00 50312.00     8.36   126.24    5.43    2.17    8.70   0.04  90.70
sdn               1.00     8.00 9235.00 9083.00 36944.00 40444.00     8.45   125.26    6.79    2.77   10.88   0.05  90.60
sdo               1.00     5.00 10376.00 10238.00 41508.00 43012.00     8.20   123.89    6.01    2.52    9.55   0.04  90.10
sdp               1.00     6.00 10197.00 10207.00 40792.00 42892.00     8.20   126.09    6.15    2.53    9.76   0.04  90.10
sdq               0.00     7.00 10532.00 10683.00 42128.00 44800.00     8.19   127.06    5.95    2.37    9.48   0.04  90.20
sdr               0.00     2.00 8943.00 9145.00 35772.00 38628.00     8.23   127.24    6.98    2.69   11.17   0.05  90.30
sds               0.00     6.00 9574.00 9259.00 38296.00 39100.00     8.22   126.86    6.69    2.67   10.85   0.05  90.20
sdt               1.00     2.00 10215.00 10163.00 40864.00 42700.00     8.20    99.66    4.86    2.09    7.65   0.04  89.50
sdu               0.00     7.00 11715.00 11559.00 46860.00 48304.00     8.18   125.79    5.37    2.06    8.73   0.04  90.20
sdv               0.00     9.00 11775.00 11651.00 47100.00 48680.00     8.18   126.36    5.35    2.07    8.67   0.04  90.20
sdw               0.00     4.00 8214.00 8100.00 32856.00 34456.00     8.25    89.26    5.46    2.43    8.52   0.06  90.00
sdx               1.00     4.00 8601.00 8539.00 34408.00 36212.00     8.24   126.34    7.31    2.87   11.77   0.05  90.20
sdy               0.00     5.00 10538.00 10746.00 42152.00 45044.00     8.19   125.74    5.88    2.29    9.40   0.04  90.20
sdz               0.00     4.00 11550.00 11488.00 46200.00 48008.00     8.18   125.77    5.43    2.16    8.71   0.04  90.30
sdaa              0.00     2.00 6498.00 6463.00 25992.00 27900.00     8.32   126.97    9.71    3.72   15.72   0.07  90.20
sdab              0.00     1.00 5119.00 5018.00 20476.00 22116.00     8.40   125.28   12.15    5.18   19.27   0.09  90.20
sdac              0.00     5.00 10833.00 10622.00 43332.00 44548.00     8.19   126.78    5.88    2.31    9.52   0.04  90.20
sdad              2.00     3.00 11052.00 10786.00 44216.00 45196.00     8.19   125.58    5.69    2.24    9.23   0.04  90.30
sdae              0.00     2.00 7247.00 7111.00 28988.00 32532.00     8.57   127.56    8.78    3.36   14.29   0.06  90.30
sdaf              0.00     3.00 10000.00 9840.00 40000.00 43452.00     8.41    94.89    4.75    2.27    7.26   0.05  90.50
sdag              0.00     2.00 5939.00 5750.00 23756.00 27088.00     8.70   127.83   10.79    4.28   17.51   0.08  91.40

02/07/2019 07:49:46 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.55    0.00   19.71   10.51    0.00   68.23

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     0.00 10591.00 10597.00 42364.00 44432.00     8.19    30.62    1.45    1.22    1.67   0.05  99.60
sdc               0.00     7.00 13074.00 13131.00 52296.00 54588.00     8.16   136.31    5.20    2.00    8.39   0.04 100.00
sdd               0.00     3.00 12978.00 12717.00 51912.00 52920.00     8.16   120.32    4.71    1.91    7.58   0.04  99.90
sde               0.00     4.00 6972.00 6966.00 27888.00 29920.00     8.30   142.55   10.21    4.08   16.34   0.07  99.90
sdf               2.00     2.00 7280.00 7247.00 29128.00 31036.00     8.28   141.54    9.74    3.69   15.82   0.07 100.00
sdg               0.00     1.00 5535.00 5361.00 22140.00 23488.00     8.38   143.53   13.17    5.34   21.27   0.09  99.90
sdh               3.00     7.00 14183.00 13983.00 56744.00 58000.00     8.15   138.98    4.94    1.92    8.00   0.04  99.90
sdi               0.00     5.00 12954.00 13142.00 51820.00 54628.00     8.16   139.00    5.33    2.06    8.56   0.04  99.90
sdj               0.00     3.00 6830.00 7088.00 27320.00 30404.00     8.29   140.76   10.13    3.81   16.21   0.07  99.90
sdk               0.00     2.00 8378.00 8503.00 33512.00 36060.00     8.24   141.34    8.36    3.29   13.35   0.06  99.90
sdl               1.00     2.00 13864.00 13639.00 55460.00 56612.00     8.15   138.62    5.04    2.00    8.13   0.04  99.90
sdm               1.00     4.00 13039.00 12970.00 52160.00 53936.00     8.16   140.08    5.39    2.10    8.70   0.04  99.90
sdn               0.00     3.00 13388.00 13495.00 53552.00 56032.00     8.15   139.09    5.19    2.00    8.34   0.04  99.90
sdo               0.00     0.00 6582.00 6355.00 26328.00 27460.00     8.32    39.34    3.04    1.66    4.47   0.07  95.50
sdp               1.00     4.00 12693.00 12859.00 50776.00 53492.00     8.16   139.95    5.47    2.11    8.79   0.04 100.00
sdq               0.00     8.00 11923.00 11811.00 47692.00 49316.00     8.17   141.11    5.94    2.35    9.56   0.04 100.00
sdr               0.00     6.00 9984.00 9835.00 39936.00 41404.00     8.21   140.78    7.10    2.69   11.57   0.05  99.90
sds               1.00     6.00 13123.00 13076.00 52496.00 54368.00     8.16   138.52    5.29    2.04    8.56   0.04  99.90
sdt               0.00     7.00 13100.00 13241.00 52400.00 55032.00     8.16   140.00    5.31    1.99    8.60   0.04  99.90
sdu               0.00    17.00 12963.00 13051.00 51852.00 56352.00     8.32   139.64    5.37    2.06    8.65   0.04  99.90
sdv               1.00     8.00 13044.00 13059.00 52180.00 56348.00     8.32   140.20    5.36    2.04    8.67   0.04  99.90
sdw               0.00     1.00 6936.00 6977.00 27744.00 31992.00     8.59    34.05    2.46    1.90    3.02   0.07  98.90
sdx               0.00     8.00 6764.00 6706.00 27056.00 30936.00     8.61   141.82   10.46    4.21   16.77   0.07  99.90
sdy               0.00     2.00 10942.00 10913.00 43768.00 47740.00     8.37   108.79    4.95    2.10    7.82   0.05 100.00
sdz               1.00     4.00 13447.00 13142.00 53792.00 56664.00     8.31   139.82    5.25    2.03    8.55   0.04  99.90
sdaa              0.00     1.00 7063.00 7188.00 28252.00 32836.00     8.57   141.22    9.88    3.73   15.93   0.07  99.90
sdab              1.00     0.00 5416.00 5530.00 21668.00 26200.00     8.75   140.03   12.81    4.91   20.54   0.09  99.90
sdac              0.00    10.00 12367.00 12460.00 49468.00 53960.00     8.33   140.19    5.64    2.17    9.09   0.04  99.90
sdad              0.00     5.00 13229.00 13121.00 52916.00 56584.00     8.31   135.56    5.19    1.99    8.41   0.04  99.20
sdae              1.00     4.00 7306.00 7546.00 29228.00 32240.00     8.28   141.01    9.50    3.57   15.24   0.07  99.80
sdaf              2.00     3.00 13079.00 12824.00 52324.00 53348.00     8.16   140.07    5.41    2.04    8.84   0.04  99.80
sdag              1.00     0.00 6330.00 6163.00 25324.00 26692.00     8.33   141.76   11.35    4.40   18.49   0.08  99.80

02/07/2019 07:49:47 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.53    0.00   18.82   10.31    0.00   69.34

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     1.00 8506.00 8696.00 34024.00 36828.00     8.24    38.03    2.21    1.32    3.09   0.06  97.00
sdc               2.00     4.00 13253.00 13238.00 53020.00 55012.00     8.16   139.75    5.27    1.99    8.55   0.04 100.20
sdd               0.00     0.00 9540.00 9426.00 38160.00 39740.00     8.21    18.89    1.00    0.94    1.05   0.05 100.00
sde               0.00     4.00 6891.00 6960.00 27564.00 29896.00     8.30   142.36   10.28    3.97   16.53   0.07 100.20
sdf               1.00     3.00 5678.00 5476.00 22716.00 23956.00     8.37   141.54   12.64    5.14   20.43   0.09 100.10
sdg               1.00     2.00 5188.00 5284.00 20756.00 23184.00     8.39   143.60   13.70    5.50   21.76   0.10 100.20
sdh               1.00    11.00 14161.00 14375.00 56648.00 59584.00     8.15   139.53    4.89    1.87    7.87   0.04 100.10
sdi               0.00     5.00 12706.00 12485.00 50824.00 52000.00     8.16   139.92    5.54    2.19    8.96   0.04 100.10
sdj               0.00     2.00 6869.00 6869.00 27476.00 31564.00     8.60   143.11   10.36    4.14   16.59   0.07 100.10
